max_east_supply,date
13.6,2016-10-01
13.5,2016-10-02
14,2016-10-03
13.8,2016-10-04
14.8,2016-10-05
13.4,2016-10-06
13.9,2016-10-07
14.2,2016-10-08
14.1,2016-10-09
13.9,2016-10-10
14.1,2016-10-11
14.2,2016-10-12
14.1,2016-10-13
12.4,2016-10-14
14.1,2016-10-15
14.4,2016-10-16
14.3,2016-10-17
14.2,2016-10-18
11.4,2016-10-19
13.3,2016-10-20
14.4,2016-10-21
14.2,2016-10-22
14.2,2016-10-23
14.3,2016-10-24
14.6,2016-10-25
15.8,2016-10-26
13.9,2016-10-27
13.5,2016-10-28
12.6,2016-10-29
15.4,2016-10-30
13.1,2016-10-31
11.3,2016-11-01
12.1,2016-11-02
11,2016-11-03
7.6,2016-11-04
7.5,2016-11-05
8.8,2016-11-06
8.5,2016-11-07
8.5,2016-11-08
7.5,2016-11-09
10.3,2016-11-10
8.2,2016-11-11
7.7,2016-11-12
7.1,2016-11-13
6.5,2016-11-14
5.5,2016-11-15
7,2016-11-16
4.7,2016-11-17
7.1,2016-11-18
7.3,2016-11-19
6.3,2016-11-20
4.7,2016-11-21
6.9,2016-11-22
7.6,2016-11-23
7.7,2016-11-24
8.4,2016-11-25
8.3,2016-11-26
8.9,2016-11-27
9,2016-11-28
7.8,2016-11-29
8.3,2016-11-30
7.9,2016-12-01
6.9,2016-12-02
7.2,2016-12-03
8.6,2016-12-04
8.7,2016-12-05
7.4,2016-12-06
4.7,2016-12-07
4.4,2016-12-08
5.6,2016-12-09
4.3,2016-12-10
4.6,2016-12-11
7.8,2016-12-12
7.6,2016-12-13
4,2016-12-14
6.2,2016-12-15
4.8,2016-12-16
6.1,2016-12-17
5.3,2016-12-18
7.8,2016-12-19
7.5,2016-12-20
3.2,2016-12-21
3.2,2016-12-22
3.3,2016-12-23
3.2,2016-12-24
3.2,2016-12-25
3.2,2016-12-26
4,2016-12-27
6.4,2016-12-28
6.3,2016-12-29
5,2016-12-30
3.2,2016-12-31
3,2017-01-01
2.9,2017-01-02
2.4,2017-01-03
2.6,2017-01-04
2.6,2017-01-05
6.6,2017-01-06
7.4,2017-01-07
7.1,2017-01-08
4.7,2017-01-09
4.5,2017-01-10
3.4,2017-01-11
4.4,2017-01-12
6,2017-01-13
5.9,2017-01-14
6.6,2017-01-15
6.9,2017-01-16
6.7,2017-01-17
4.3,2017-01-18
6.9,2017-01-19
6.8,2017-01-20
6.7,2017-01-21
4,2017-01-22
5.6,2017-01-23
4.5,2017-01-24
6.3,2017-04-19
5.9,2017-04-20
12.4,2017-04-21
15.8,2017-04-22
15.9,2017-04-23
16.3,2017-04-24
14,2017-04-25
13.3,2017-04-26
17.6,2017-04-27
17.6,2017-04-28
14.2,2017-04-29
10.9,2017-04-30
9.8,2017-05-01
10.7,2017-05-02
10.5,2017-05-03
9.5,2017-05-04
9.3,2017-05-05
8.8,2017-05-06
9.3,2017-05-07
10.4,2017-05-08
10.4,2017-05-09
9.6,2017-05-10
12.6,2017-05-11
8.5,2017-05-12
7.5,2017-05-13
9.5,2017-05-14
8.3,2017-05-15
16.3,2017-05-16
16.7,2017-05-17
13.2,2017-05-18
11.6,2017-05-19
13,2017-05-20
12,2017-05-21
12.2,2017-05-22
12.2,2017-05-23
10.7,2017-05-24
9.6,2017-05-25
10.4,2017-05-26
16.1,2017-05-27
13.5,2017-05-28
12.5,2017-05-29
12.8,2017-05-30
12.6,2017-05-31
17.2,2017-06-01
17.5,2017-06-02
14,2017-06-03
14,2017-06-04
14,2017-06-05
14.1,2017-06-06
14.5,2017-06-07
16.9,2017-06-08
17.2,2017-06-09
17.1,2017-06-10
16,2017-06-11
17.4,2017-06-12
11.7,2017-06-13
11.8,2017-06-14
17.3,2017-06-15
14.9,2017-06-16
14.6,2017-06-17
14.7,2017-06-18
14.5,2017-06-19
14.3,2017-06-20
17.1,2017-06-21
17,2017-06-22
17.1,2017-06-23
14.4,2017-06-24
16.3,2017-06-25
15.4,2017-06-26
15,2017-06-27
14.4,2017-06-28
14.3,2017-06-29
9.7,2017-06-30
