max_north_usage,date
1099.4,2016-10-01
1031.6,2016-10-02
1275.4,2016-10-03
1263,2016-10-04
1282.9,2016-10-05
1295.1,2016-10-06
1222.4,2016-10-07
1041.2,2016-10-08
896.2,2016-10-09
939.2,2016-10-10
1153,2016-10-11
1127.9,2016-10-12
1114.8,2016-10-13
1118.2,2016-10-14
1018.1,2016-10-15
975.3,2016-10-16
1225.7,2016-10-17
1251.4,2016-10-18
1260.7,2016-10-19
1282.7,2016-10-20
1301.1,2016-10-21
1108,2016-10-22
1018.8,2016-10-23
1206.4,2016-10-24
1182.4,2016-10-25
1296.6,2016-10-26
1271.3,2016-10-27
1266.1,2016-10-28
959.9,2016-10-29
851.3,2016-10-30
960.9,2016-10-31
1041.4,2016-11-01
1012.9,2016-11-02
1016.3,2016-11-03
1037.5,2016-11-04
915.8,2016-11-05
891.6,2016-11-06
1100.3,2016-11-07
1105.9,2016-11-08
1022.1,2016-11-09
1025.2,2016-11-10
972.2,2016-11-11
897.9,2016-11-12
900.4,2016-11-13
1101.1,2016-11-14
1105.7,2016-11-15
1103.5,2016-11-16
1117.1,2016-11-17
1098.5,2016-11-18
964,2016-11-19
903.7,2016-11-20
1074.1,2016-11-21
1096.8,2016-11-22
1055.5,2016-11-23
1013,2016-11-24
1036.9,2016-11-25
905.4,2016-11-26
845.4,2016-11-27
988.2,2016-11-28
1015.3,2016-11-29
1048.3,2016-11-30
1021.1,2016-12-01
1011.2,2016-12-02
912.3,2016-12-03
886.7,2016-12-04
1039.7,2016-12-05
1024,2016-12-06
1024.7,2016-12-07
1037.7,2016-12-08
1016.5,2016-12-09
895.1,2016-12-10
863.9,2016-12-11
1030.8,2016-12-12
1024,2016-12-13
1010.6,2016-12-14
995.1,2016-12-15
972.5,2016-12-16
874.4,2016-12-17
858.2,2016-12-18
1029.6,2016-12-19
1060.4,2016-12-20
1087.4,2016-12-21
1048.1,2016-12-22
991.5,2016-12-23
866.7,2016-12-24
855.1,2016-12-25
989.1,2016-12-26
1003.2,2016-12-27
994.2,2016-12-28
979.4,2016-12-29
945,2016-12-30
841.4,2016-12-31
803,2017-01-01
880.2,2017-01-02
1042.4,2017-01-03
1050,2017-01-04
1059.9,2017-01-05
1049.3,2017-01-06
920.3,2017-01-07
864,2017-01-08
1010.9,2017-01-09
1017.4,2017-01-10
1025.3,2017-01-11
1029.2,2017-01-12
1009.1,2017-01-13
873.2,2017-01-14
881.9,2017-01-15
1002.8,2017-01-16
1013.4,2017-01-17
1024.2,2017-01-18
1022.6,2017-01-19
1005.7,2017-01-20
892.6,2017-01-21
866,2017-01-22
990.8,2017-01-23
979.5,2017-01-24
1096.4,2017-04-19
1146.6,2017-04-20
1163.3,2017-04-21
882.6,2017-04-22
844.8,2017-04-23
1028.4,2017-04-24
1071.8,2017-04-25
1122.6,2017-04-26
1020.8,2017-04-27
998.4,2017-04-28
849.3,2017-04-29
844.8,2017-04-30
915,2017-05-01
1096.8,2017-05-02
1162,2017-05-03
1185.1,2017-05-04
1187.6,2017-05-05
956,2017-05-06
898,2017-05-07
1188.4,2017-05-08
1149.3,2017-05-09
1228.9,2017-05-10
1255,2017-05-11
1236,2017-05-12
975.9,2017-05-13
949.7,2017-05-14
1223.6,2017-05-15
1099.9,2017-05-16
1118.9,2017-05-17
1147.2,2017-05-18
1139,2017-05-19
939.6,2017-05-20
921,2017-05-21
1177.9,2017-05-22
1227.4,2017-05-23
1261.1,2017-05-24
1122.5,2017-05-25
1089.8,2017-05-26
904.7,2017-05-27
868.9,2017-05-28
922.3,2017-05-29
957.8,2017-05-30
1250.4,2017-05-31
1256.9,2017-06-01
1237.9,2017-06-02
1135.9,2017-06-03
987.1,2017-06-04
1221.8,2017-06-05
1288.6,2017-06-06
1334.5,2017-06-07
1332.1,2017-06-08
1334.9,2017-06-09
1159.4,2017-06-10
1082.3,2017-06-11
1340.5,2017-06-12
1334.5,2017-06-13
1213.2,2017-06-14
1129.8,2017-06-15
1170.3,2017-06-16
971.7,2017-06-17
938.3,2017-06-18
1167.7,2017-06-19
1232.1,2017-06-20
1292.4,2017-06-21
1340.5,2017-06-22
1342.5,2017-06-23
1161.9,2017-06-24
1112.8,2017-06-25
1393.6,2017-06-26
1399.2,2017-06-27
1400,2017-06-28
1403,2017-06-29
1370.6,2017-06-30
