max_east_usage,date
41.8,2016-10-01
41.7,2016-10-02
46.5,2016-10-03
47.6,2016-10-04
46.6,2016-10-05
44.7,2016-10-06
43.1,2016-10-07
44.5,2016-10-08
43.8,2016-10-09
44.6,2016-10-10
45.9,2016-10-11
46.4,2016-10-12
45.7,2016-10-13
45.8,2016-10-14
47.5,2016-10-15
46.2,2016-10-16
47,2016-10-17
48.4,2016-10-18
46.1,2016-10-19
43.4,2016-10-20
44.8,2016-10-21
46,2016-10-22
45.1,2016-10-23
45.5,2016-10-24
45.2,2016-10-25
45.8,2016-10-26
46.8,2016-10-27
45.6,2016-10-28
43.3,2016-10-29
41.6,2016-10-30
44.5,2016-10-31
43.8,2016-11-01
44.2,2016-11-02
41.2,2016-11-03
40.4,2016-11-04
40.8,2016-11-05
41,2016-11-06
41.6,2016-11-07
42.5,2016-11-08
39,2016-11-09
39,2016-11-10
41.5,2016-11-11
41,2016-11-12
43.1,2016-11-13
42.9,2016-11-14
44.5,2016-11-15
42.1,2016-11-16
43.5,2016-11-17
41.2,2016-11-18
43.8,2016-11-19
40,2016-11-20
42.2,2016-11-21
40.8,2016-11-22
39.8,2016-11-23
38.4,2016-11-24
41.4,2016-11-25
42.8,2016-11-26
40.3,2016-11-27
41.2,2016-11-28
40.8,2016-11-29
40.9,2016-11-30
40.4,2016-12-01
40.6,2016-12-02
41.8,2016-12-03
40.7,2016-12-04
41.8,2016-12-05
39.8,2016-12-06
40.8,2016-12-07
40.4,2016-12-08
42.1,2016-12-09
41.8,2016-12-10
40,2016-12-11
41.9,2016-12-12
40.9,2016-12-13
41.9,2016-12-14
40.5,2016-12-15
38.1,2016-12-16
40.4,2016-12-17
38.1,2016-12-18
40.3,2016-12-19
41.5,2016-12-20
43.4,2016-12-21
43.6,2016-12-22
41.5,2016-12-23
40.8,2016-12-24
41.6,2016-12-25
43.4,2016-12-26
42.7,2016-12-27
42.6,2016-12-28
42.4,2016-12-29
40.3,2016-12-30
42.8,2016-12-31
40.9,2017-01-01
41.1,2017-01-02
39.6,2017-01-03
41.7,2017-01-04
41.6,2017-01-05
40.4,2017-01-06
42.3,2017-01-07
41.3,2017-01-08
41.2,2017-01-09
40.3,2017-01-10
41.5,2017-01-11
41.2,2017-01-12
40,2017-01-13
38.7,2017-01-14
40.4,2017-01-15
40.3,2017-01-16
40.6,2017-01-17
41.4,2017-01-18
40.9,2017-01-19
39.5,2017-01-20
40.5,2017-01-21
39.6,2017-01-22
39.2,2017-01-23
37.3,2017-01-24
42.7,2017-04-19
43.7,2017-04-20
42.4,2017-04-21
37.3,2017-04-22
37.2,2017-04-23
38.5,2017-04-24
43.1,2017-04-25
41.4,2017-04-26
38.5,2017-04-27
37.9,2017-04-28
38.9,2017-04-29
40.4,2017-04-30
41.9,2017-05-01
43.2,2017-05-02
43.2,2017-05-03
42.2,2017-05-04
41.6,2017-05-05
41.9,2017-05-06
42.1,2017-05-07
43.6,2017-05-08
47,2017-05-09
44.9,2017-05-10
43.1,2017-05-11
40.9,2017-05-12
41.9,2017-05-13
40.1,2017-05-14
43.6,2017-05-15
40.1,2017-05-16
40.9,2017-05-17
41,2017-05-18
39.3,2017-05-19
40.9,2017-05-20
41,2017-05-21
43.5,2017-05-22
44,2017-05-23
43.8,2017-05-24
41.3,2017-05-25
38.7,2017-05-26
41.5,2017-05-27
41.6,2017-05-28
41.6,2017-05-29
41.6,2017-05-30
46,2017-05-31
46.4,2017-06-01
45.7,2017-06-02
41.9,2017-06-03
43,2017-06-04
45.5,2017-06-05
47.4,2017-06-06
48.3,2017-06-07
47.6,2017-06-08
46.3,2017-06-09
47.2,2017-06-10
49,2017-06-11
50.8,2017-06-12
48.2,2017-06-13
44.2,2017-06-14
40.9,2017-06-15
42.4,2017-06-16
42.1,2017-06-17
43.3,2017-06-18
42.6,2017-06-19
44.8,2017-06-20
47.4,2017-06-21
49.5,2017-06-22
50,2017-06-23
50,2017-06-24
49.4,2017-06-25
51.8,2017-06-26
48.8,2017-06-27
50.7,2017-06-28
51.6,2017-06-29
48.8,2017-06-30
