max_north_supply,date
943,2016-10-01
872.9,2016-10-02
1150.5,2016-10-03
1139.6,2016-10-04
1150.8,2016-10-05
1099.9,2016-10-06
1108.1,2016-10-07
890.7,2016-10-08
739.8,2016-10-09
837.1,2016-10-10
1012.7,2016-10-11
1011.5,2016-10-12
1044.8,2016-10-13
1049.5,2016-10-14
957.5,2016-10-15
889,2016-10-16
1075.3,2016-10-17
1086.3,2016-10-18
1089.1,2016-10-19
1065,2016-10-20
1084.9,2016-10-21
1005.9,2016-10-22
910.9,2016-10-23
1086.9,2016-10-24
1096.6,2016-10-25
1164.3,2016-10-26
1141.1,2016-10-27
1130.3,2016-10-28
953,2016-10-29
844.4,2016-10-30
957,2016-10-31
1012,2016-11-01
1002.9,2016-11-02
962.4,2016-11-03
978.4,2016-11-04
886.5,2016-11-05
788.8,2016-11-06
1017,2016-11-07
1023.4,2016-11-08
986.5,2016-11-09
993.2,2016-11-10
952.1,2016-11-11
899.9,2016-11-12
817.1,2016-11-13
1052.5,2016-11-14
1088,2016-11-15
1063.9,2016-11-16
1038.1,2016-11-17
1055.5,2016-11-18
923.5,2016-11-19
770.8,2016-11-20
984.9,2016-11-21
982.4,2016-11-22
958.7,2016-11-23
959.2,2016-11-24
968.6,2016-11-25
839.6,2016-11-26
760.6,2016-11-27
946.1,2016-11-28
963.3,2016-11-29
923,2016-11-30
906.9,2016-12-01
945.7,2016-12-02
835,2016-12-03
773.7,2016-12-04
962.6,2016-12-05
903.7,2016-12-06
909.8,2016-12-07
907.2,2016-12-08
939,2016-12-09
859,2016-12-10
741.3,2016-12-11
931.4,2016-12-12
953.8,2016-12-13
891.7,2016-12-14
897.7,2016-12-15
889.2,2016-12-16
788.5,2016-12-17
700.6,2016-12-18
873.8,2016-12-19
942.3,2016-12-20
937.1,2016-12-21
924.5,2016-12-22
847.4,2016-12-23
703.8,2016-12-24
662.1,2016-12-25
848.7,2016-12-26
873.2,2016-12-27
864.4,2016-12-28
850.6,2016-12-29
761.6,2016-12-30
692.6,2016-12-31
594.8,2017-01-01
644.3,2017-01-02
783.9,2017-01-03
840.6,2017-01-04
890,2017-01-05
849.5,2017-01-06
711.3,2017-01-07
699.7,2017-01-08
835.7,2017-01-09
817,2017-01-10
917.8,2017-01-11
837.1,2017-01-12
853.5,2017-01-13
663.2,2017-01-14
644.5,2017-01-15
831.5,2017-01-16
878.4,2017-01-17
873.3,2017-01-18
898.3,2017-01-19
764.1,2017-01-20
674.5,2017-01-21
567.1,2017-01-22
782.3,2017-01-23
819.4,2017-01-24
976.6,2017-04-19
979.9,2017-04-20
991.2,2017-04-21
844.2,2017-04-22
706.5,2017-04-23
951.5,2017-04-24
1002.1,2017-04-25
1023.8,2017-04-26
958.8,2017-04-27
922.9,2017-04-28
781.5,2017-04-29
833.1,2017-04-30
813.9,2017-05-01
986,2017-05-02
1019.5,2017-05-03
1034.3,2017-05-04
1020.4,2017-05-05
872.8,2017-05-06
785.6,2017-05-07
981.5,2017-05-08
1004.2,2017-05-09
1029.8,2017-05-10
1103.6,2017-05-11
1132.3,2017-05-12
1007,2017-05-13
838.8,2017-05-14
1066,2017-05-15
1036.5,2017-05-16
980.1,2017-05-17
1037,2017-05-18
1068,2017-05-19
902.1,2017-05-20
880.2,2017-05-21
1106.3,2017-05-22
1120.5,2017-05-23
1145.3,2017-05-24
1083.7,2017-05-25
1074.8,2017-05-26
912.4,2017-05-27
813.3,2017-05-28
913.9,2017-05-29
843.9,2017-05-30
1148.5,2017-05-31
1099.6,2017-06-01
1082.3,2017-06-02
990.7,2017-06-03
788.4,2017-06-04
1092.6,2017-06-05
1123.6,2017-06-06
1114,2017-06-07
1117,2017-06-08
1112.5,2017-06-09
1049.9,2017-06-10
1008.8,2017-06-11
1171,2017-06-12
1155,2017-06-13
1126.4,2017-06-14
1043.9,2017-06-15
1014.4,2017-06-16
875.5,2017-06-17
814.7,2017-06-18
1005.2,2017-06-19
1038.1,2017-06-20
1161.8,2017-06-21
1216.2,2017-06-22
1210.2,2017-06-23
1038.5,2017-06-24
983.3,2017-06-25
1214.5,2017-06-26
1211.6,2017-06-27
1199.3,2017-06-28
1211.7,2017-06-29
1193.1,2017-06-30
