max_south_supply,date
1045.2,2016-10-01
989.5,2016-10-02
1083,2016-10-03
1095.8,2016-10-04
1109,2016-10-05
1146.8,2016-10-06
1069.6,2016-10-07
980,2016-10-08
872.8,2016-10-09
927.6,2016-10-10
1059.9,2016-10-11
1086.7,2016-10-12
1083.1,2016-10-13
1043.8,2016-10-14
1035.2,2016-10-15
878.5,2016-10-16
1092.4,2016-10-17
1140.2,2016-10-18
1130.6,2016-10-19
1138.5,2016-10-20
1171.6,2016-10-21
1061.6,2016-10-22
935.7,2016-10-23
1106.4,2016-10-24
1114.1,2016-10-25
1124.5,2016-10-26
1115.9,2016-10-27
1094.9,2016-10-28
932.4,2016-10-29
792.4,2016-10-30
963.5,2016-10-31
1030.8,2016-11-01
1033.9,2016-11-02
1028.1,2016-11-03
1014.1,2016-11-04
954.7,2016-11-05
881.8,2016-11-06
1034.4,2016-11-07
1015.5,2016-11-08
1029.3,2016-11-09
983.8,2016-11-10
956.8,2016-11-11
885.7,2016-11-12
818.9,2016-11-13
1003,2016-11-14
997.4,2016-11-15
1028.6,2016-11-16
1012.8,2016-11-17
988.2,2016-11-18
1002.3,2016-11-19
911.6,2016-11-20
1064.1,2016-11-21
1076.1,2016-11-22
1043.9,2016-11-23
1088.4,2016-11-24
1067.4,2016-11-25
1036.1,2016-11-26
926.3,2016-11-27
1076.7,2016-11-28
1060,2016-11-29
1033.4,2016-11-30
1080.1,2016-12-01
1108.2,2016-12-02
1077.1,2016-12-03
942.9,2016-12-04
1123.8,2016-12-05
1121,2016-12-06
1133.6,2016-12-07
1120.3,2016-12-08
1135,2016-12-09
993.7,2016-12-10
895.3,2016-12-11
1078.4,2016-12-12
1110.5,2016-12-13
1105,2016-12-14
1095.3,2016-12-15
1094.6,2016-12-16
996,2016-12-17
934.4,2016-12-18
1117.1,2016-12-19
1104.8,2016-12-20
1106.7,2016-12-21
1098.8,2016-12-22
1107.8,2016-12-23
995.8,2016-12-24
914.4,2016-12-25
1048.6,2016-12-26
1013.1,2016-12-27
1054.3,2016-12-28
1038.6,2016-12-29
1072.4,2016-12-30
914.5,2016-12-31
923.7,2017-01-01
965.3,2017-01-02
1196.8,2017-01-03
1165.5,2017-01-04
1148,2017-01-05
1173.6,2017-01-06
1091.3,2017-01-07
950.8,2017-01-08
1116.5,2017-01-09
1105.3,2017-01-10
1116.5,2017-01-11
1133.7,2017-01-12
1091.4,2017-01-13
1022.2,2017-01-14
946,2017-01-15
1079.6,2017-01-16
1112.6,2017-01-17
1118.7,2017-01-18
1129.3,2017-01-19
1165.3,2017-01-20
997.7,2017-01-21
1028.4,2017-01-22
1084.6,2017-01-23
1043.1,2017-01-24
1090.2,2017-04-19
1140.1,2017-04-20
1163.7,2017-04-21
853.4,2017-04-22
847.9,2017-04-23
967.8,2017-04-24
1033.3,2017-04-25
1064.7,2017-04-26
988.2,2017-04-27
1009.8,2017-04-28
961.2,2017-04-29
833.9,2017-04-30
925.4,2017-05-01
1038.8,2017-05-02
1089.2,2017-05-03
1117.2,2017-05-04
1143.1,2017-05-05
1066.2,2017-05-06
896.9,2017-05-07
1161.8,2017-05-08
1174.4,2017-05-09
1184.5,2017-05-10
1168.7,2017-05-11
1112,2017-05-12
957.1,2017-05-13
903.3,2017-05-14
1105.9,2017-05-15
1011.8,2017-05-16
1034.4,2017-05-17
1096.7,2017-05-18
1092.8,2017-05-19
893.7,2017-05-20
888.6,2017-05-21
1098.3,2017-05-22
1068.7,2017-05-23
1071.5,2017-05-24
1047.4,2017-05-25
977.4,2017-05-26
896.1,2017-05-27
821.6,2017-05-28
878.9,2017-05-29
820.5,2017-05-30
1114.3,2017-05-31
1096.2,2017-06-01
1101.2,2017-06-02
1067.9,2017-06-03
871.2,2017-06-04
1108.3,2017-06-05
1119.9,2017-06-06
1168.3,2017-06-07
1212,2017-06-08
1178.7,2017-06-09
1102.3,2017-06-10
958.5,2017-06-11
1137.3,2017-06-12
1188.2,2017-06-13
1074.6,2017-06-14
1059.2,2017-06-15
1079.9,2017-06-16
964.8,2017-06-17
890.7,2017-06-18
1124.9,2017-06-19
1186.8,2017-06-20
1169.1,2017-06-21
1194.1,2017-06-22
1145,2017-06-23
1066.8,2017-06-24
934.1,2017-06-25
1256.4,2017-06-26
1242.9,2017-06-27
1245.4,2017-06-28
1246.9,2017-06-29
1252.5,2017-06-30
