max_center_supply,date
869.9,2016-10-01
828.8,2016-10-02
950.2,2016-10-03
972.5,2016-10-04
966,2016-10-05
988.2,2016-10-06
960.3,2016-10-07
889.5,2016-10-08
856.8,2016-10-09
879.5,2016-10-10
966.8,2016-10-11
938.1,2016-10-12
931.1,2016-10-13
947.2,2016-10-14
892.5,2016-10-15
931.7,2016-10-16
1033.3,2016-10-17
1014.6,2016-10-18
1033.2,2016-10-19
1030.2,2016-10-20
1079.6,2016-10-21
894.2,2016-10-22
869,2016-10-23
999.3,2016-10-24
952.3,2016-10-25
1057.6,2016-10-26
1090.4,2016-10-27
1004.5,2016-10-28
854.9,2016-10-29
833.4,2016-10-30
850.9,2016-10-31
825.3,2016-11-01
777.7,2016-11-02
867.8,2016-11-03
893.8,2016-11-04
798.7,2016-11-05
851,2016-11-06
945.7,2016-11-07
910,2016-11-08
861.4,2016-11-09
868.2,2016-11-10
862.7,2016-11-11
790.1,2016-11-12
872.5,2016-11-13
918.6,2016-11-14
873.3,2016-11-15
874.5,2016-11-16
939.7,2016-11-17
885.4,2016-11-18
760.2,2016-11-19
821,2016-11-20
856.3,2016-11-21
852.2,2016-11-22
798.9,2016-11-23
760.1,2016-11-24
783.1,2016-11-25
672.5,2016-11-26
698.5,2016-11-27
706,2016-11-28
768.7,2016-11-29
829.9,2016-11-30
768.4,2016-12-01
706.8,2016-12-02
630.6,2016-12-03
707.1,2016-12-04
743.2,2016-12-05
746.5,2016-12-06
829.5,2016-12-07
778.9,2016-12-08
770.1,2016-12-09
693.8,2016-12-10
764.4,2016-12-11
769.6,2016-12-12
756.2,2016-12-13
781.5,2016-12-14
731.9,2016-12-15
730.2,2016-12-16
704.1,2016-12-17
756.3,2016-12-18
794.2,2016-12-19
860.3,2016-12-20
838.6,2016-12-21
835.3,2016-12-22
837.5,2016-12-23
766.3,2016-12-24
804.3,2016-12-25
797.1,2016-12-26
848.8,2016-12-27
792,2016-12-28
835,2016-12-29
805.7,2016-12-30
772.8,2016-12-31
784,2017-01-01
824.4,2017-01-02
818.1,2017-01-03
803.2,2017-01-04
795.6,2017-01-05
825.7,2017-01-06
768,2017-01-07
766.3,2017-01-08
819,2017-01-09
864.8,2017-01-10
790.1,2017-01-11
829.1,2017-01-12
798.7,2017-01-13
779.3,2017-01-14
826.5,2017-01-15
836.7,2017-01-16
780.9,2017-01-17
801.3,2017-01-18
774,2017-01-19
829.2,2017-01-20
802.3,2017-01-21
816.2,2017-01-22
835.1,2017-01-23
834.3,2017-01-24
900.7,2017-04-19
926.9,2017-04-20
937.2,2017-04-21
831.3,2017-04-22
841.6,2017-04-23
904.1,2017-04-24
896.6,2017-04-25
954.2,2017-04-26
911.4,2017-04-27
816.8,2017-04-28
782,2017-04-29
769.2,2017-04-30
834,2017-05-01
979.8,2017-05-02
971.1,2017-05-03
982.8,2017-05-04
998.7,2017-05-05
833.1,2017-05-06
899.2,2017-05-07
1010,2017-05-08
953,2017-05-09
1012.1,2017-05-10
1047.2,2017-05-11
1038.4,2017-05-12
856,2017-05-13
879.9,2017-05-14
1034.4,2017-05-15
959.6,2017-05-16
963.8,2017-05-17
986.2,2017-05-18
935.1,2017-05-19
868.5,2017-05-20
844.6,2017-05-21
995,2017-05-22
1071.8,2017-05-23
1066.1,2017-05-24
950.4,2017-05-25
968.8,2017-05-26
885.5,2017-05-27
880.8,2017-05-28
836.6,2017-05-29
976.5,2017-05-30
977.7,2017-05-31
1020,2017-06-01
971.6,2017-06-02
933.5,2017-06-03
985.4,2017-06-04
968,2017-06-05
1034.4,2017-06-06
1097.2,2017-06-07
1047.8,2017-06-08
1068.7,2017-06-09
938.6,2017-06-10
947.6,2017-06-11
1100,2017-06-12
1071.6,2017-06-13
1004.3,2017-06-14
928.1,2017-06-15
973.3,2017-06-16
864.4,2017-06-17
889.5,2017-06-18
969.4,2017-06-19
952.9,2017-06-20
1002.8,2017-06-21
1035.9,2017-06-22
1041,2017-06-23
962.6,2017-06-24
1038,2017-06-25
1007.4,2017-06-26
1024.9,2017-06-27
1037.8,2017-06-28
1020.2,2017-06-29
1011.1,2017-06-30
